Twitter Handle,Incumbent?,Age,Followers Count,Climate Bool,Total Tweet Count
voteamycox,No,41.0,808.0,True,484
phh4toledo,Yes,69.0,2322.0,True,392
nancyforohio,No,,1224.0,True,374
teamshowen,No,,237.0,False,437
zachsteppoh,No,25.0,1901.0,True,1299
dara4ohio,No,,335.0,True,343
cstanleyohio,No,37.0,429.0,True,525
dudziakohio,No,,564.0,True,965
alanstate,No,,166.0,False,180
donnabforohio69,No,46.0,375.0,True,1369
kevinpbarnet,No,59.0,205.0,False,10
melissawilde6,No,38.0,182.0,False,23
roberts4ohio,No,,911.0,True,278
barnesforohio87,No,48.0,15.0,False,75
chrislieboldoh,No,28.0,477.0,False,191
alexiscmilleroh,No,,2252.0,False,466
bethworkman1,No,,561.0,False,471
ohiohouseoneill,No,39.0,158.0,False,72
swope2020,No,23.0,,True,734
danaforohio,No,51.0,183.0,False,113
mjferrence,No,45.0,307.0,True,359
mattduvall15,No,38.0,5909.0,True,598
lindsayforpa106,No,,1241.0,True,833
kolbeforpa10,No,,518.0,False,217
votemullins,Yes,35.0,174.0,False,22
paforjbs,No,,458.0,True,329
votetinadavis,Yes,60.0,674.0,False,3
ullman_wendy,Yes,68.0,,True,383
robynforpa,No,,347.0,True,688
joewebsterpa,Yes,62.0,326.0,True,374
nancy4pahouse,No,,831.0,True,529
danielle_4pa,Yes,42.0,1702.0,True,1698
jennomara4pa,Yes,31.0,1480.0,False,710
mikedoyleforpa,No,41.0,1089.0,True,341
voteclaudettepa,No,,584.0,True,184
annmarie4pa,No,55.0,782.0,False,142
malcolmforpa,Yes,30.0,1882.0,True,193
votejasonruff,No,45.0,343.0,False,24
fiedler4philly,Yes,,9114.0,True,703
amenbrownphl,No,,115.0,False,178
joanna4pa,Yes,39.0,1759.0,True,341
jaredgsolomon,Yes,41.0,1006.0,False,46
innamo,Yes,34.0,14228.0,True,891
peter_schweyer,Yes,42.0,2042.0,True,1729
eskopov16,No,,4.0,False,1
marlenekatz4pa,No,,,True,707
summerforpa,Yes,33.0,23795.0,True,2271
micheleforpa41,No,52.0,183.0,True,153
micheleknoll44,No,66.0,739.0,False,453
pamsnyderpa50,Yes,69.0,427.0,False,72
vote4runk,No,,34.0,False,8
taraforpa,No,,16474.0,True,528
julie4texas,No,,,True,1133
chrisgturner,Yes,48.0,10874.0,True,1714
ramos4texas,Yes,,3012.0,True,804
jessicafortexas,Yes,37.0,2784.0,True,807
skidonenkofortx,No,,3009.0,True,3447
victoria4texas,Yes,39.0,11237.0,True,2429
joannacattanach,No,39.0,2333.0,True,1011
reptonirosetx,Yes,,2309.0,False,23
rhettaforhd113,Yes,54.0,2901.0,True,824
turnerfortx,Yes,,2357.0,False,295
juliejohnsontx,Yes,55.0,5587.0,False,448
tmftx,Yes,50.0,9109.0,False,1071
pachecofortexas,Yes,34.0,440.0,False,36
alecjohnson4tx,No,68.0,197.0,True,138
celinafortexas,No,,1751.0,True,761
claire4texas,No,40.0,1755.0,True,607
vote4ina,Yes,45.0,6535.0,True,1275
raylopezfortx,Yes,,961.0,False,669
natalifortexas,No,33.0,2371.0,False,890
kaylaalixforte1,No,,79.0,False,44
gina_calanni,Yes,42.0,4897.0,True,1017
voteannjohnson,No,,2280.0,True,1037
genefortexas,Yes,,16938.0,True,3823
akilahbacy,No,,2541.0,True,1267
anahdztx,Yes,42.0,8576.0,False,1464
repmaryann,Yes,,4139.0,False,355
votepennyshaw,No,,1124.0,True,496
ronereynolds,Yes,,3191.0,True,619
elizmarkowitz,No,36.0,8659.0,True,2450
ericholguintx,No,33.0,2289.0,True,489
repabelherrero,Yes,51.0,1254.0,False,260
replongoria,Yes,41.0,5821.0,False,116
eddielucioiii,Yes,41.0,8231.0,False,140
terrycanales40,Yes,41.0,11634.0,True,2295
sherylcole1,Yes,56.0,3979.0,True,236
vikkigoodwintx,Yes,53.0,2953.0,True,475
donnahowardtx,Yes,69.0,18260.0,True,3299
ginaforaustin,Yes,46.0,8264.0,True,1639
celiaisrael,Yes,54.0,8576.0,True,630
eddiefortexas,Yes,49.0,12837.0,True,929
jamestalarico,Yes,31.0,13818.0,True,1109
joepherrera,No,41.0,190.0,False,29
ktp4texas56,No,40.0,299.0,True,1106
rogers4texas,No,,34073.0,True,4247
angelafortexas,No,45.0,1427.0,True,680
forhd65,Yes,50.0,2765.0,True,2488
sharon4tx,No,30.0,1729.0,True,447
lorenzofortexas,No,32.0,1794.0,True,805
ledbetter4tx68,No,,17.0,False,8
stephanie4tx73,No,,2626.0,True,2064
addison4tx,No,39.0,1769.0,True,1565
gibsonfortexas,No,49.0,323.0,False,536
simsfortexas,No,45.0,435.0,False,112
jeffwhitfieldtx,No,46.0,916.0,False,119
lydiabeantexas,No,40.0,2053.0,True,1277
alisafortexas,No,,1495.0,True,198
dragofor96,No,52.0,,False,449
elizabethfortx,No,34.0,2953.0,True,759
debrafortexas,No,38.0,1100.0,True,408
emilyvoight4wi,No,,710.0,True,335
dora_wi,No,,77.0,False,27
sara4wi,No,,2260.0,True,394
robynvining,Yes,43.0,2372.0,True,866
jess4assembly,No,,648.0,True,777
jbrostoff,Yes,,2367.0,True,2052
debforwi,No,,1081.0,True,463
emilysiegristwi,No,,3019.0,True,1026
votekimbutler,No,,277.0,False,188
yacoubforwi,No,,,True,1362
liz4wisconsin,No,,,True,72
masontbecker,No,,3216.0,True,3412
